gateway_id,connector_id,protocol,point_id,point_name,point_type,point_specification,writable,interval,unit,max_pres_value,min_pres_value,labels,scale,device_id,device_name,device_type,site,building,floor,installation_area,target_area,panel,tags,supplier,owner,description,local_id,device_id_bacnet,instance_no_bacnet,object_type_bacnet
gw-001,bacnet-01,bacnet,BN-01-AI-001,温度,温度,Measurement,false,5,degC,50,-10,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,1",1001,1,analogInput
gw-001,opcua-01,opcua,UA-F-0001,温度,温度,Measurement,true,5,degC,50,-10,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0001,,,
gw-001,bacnet-01,bacnet,BN-01-AI-002,湿度,湿度,Measurement,false,5,%RH,100,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,2",1001,2,analogInput
gw-001,opcua-01,opcua,UA-F-0002,湿度,湿度,Measurement,true,5,%RH,100,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0002,,,
gw-001,bacnet-01,bacnet,BN-01-AI-003,CO2濃度,CO2濃度,Measurement,false,5,ppm,5000,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,3",1001,3,analogInput
gw-001,opcua-01,opcua,UA-F-0003,CO2濃度,CO2濃度,Measurement,true,5,ppm,5000,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0003,,,
gw-001,bacnet-01,bacnet,BN-01-AI-004,差圧,差圧,Measurement,false,5,Pa,1000,-1000,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,4",1001,4,analogInput
gw-001,opcua-01,opcua,UA-F-0004,差圧,差圧,Measurement,true,5,Pa,1000,-1000,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0004,,,
gw-001,bacnet-01,bacnet,BN-01-AI-005,風量,流量,Measurement,false,5,m3/h,10000,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,5",1001,5,analogInput
gw-001,opcua-01,opcua,UA-F-0005,風量,流量,Measurement,true,5,m3/h,10000,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0005,,,
gw-001,bacnet-01,bacnet,BN-01-AI-006,電力,電力,Measurement,false,5,kW,1000,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,6",1001,6,analogInput
gw-001,opcua-01,opcua,UA-F-0006,電力,電力,Measurement,true,5,kW,1000,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0006,,,
gw-001,bacnet-01,bacnet,BN-01-AI-007,電力量,電力量,Metering,false,5,kWh,999999,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,7",1001,7,analogInput
gw-001,opcua-01,opcua,UA-F-0007,電力量,電力量,Metering,true,5,kWh,999999,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0007,,,
gw-001,bacnet-01,bacnet,BN-01-AI-008,照度,照度,Measurement,false,5,lux,10000,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,8",1001,8,analogInput
gw-001,opcua-01,opcua,UA-F-0008,照度,照度,Measurement,true,5,lux,10000,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0008,,,
gw-001,bacnet-01,bacnet,BN-01-AI-009,温度,温度,Measurement,false,5,degC,50,-10,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,9",1001,9,analogInput
gw-001,opcua-01,opcua,UA-F-0009,風速,風速,Measurement,true,5,m/s,50,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0009,,,
gw-001,bacnet-01,bacnet,BN-01-AI-010,湿度,湿度,Measurement,false,5,%RH,100,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,10",1001,10,analogInput
gw-001,opcua-01,opcua,UA-F-0010,圧力,圧力,Measurement,true,5,bar,10,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0010,,,
gw-001,bacnet-01,bacnet,BN-01-AI-011,温度,温度,Measurement,false,5,degC,50,-10,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,11",1001,11,analogInput
gw-001,opcua-01,opcua,UA-F-0011,温度,温度,Measurement,true,5,degC,50,-10,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0011,,,
gw-001,bacnet-01,bacnet,BN-01-AI-012,湿度,湿度,Measurement,false,5,%RH,100,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,12",1001,12,analogInput
gw-001,opcua-01,opcua,UA-F-0012,湿度,湿度,Measurement,true,5,%RH,100,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0012,,,
gw-001,bacnet-01,bacnet,BN-01-AI-013,CO2濃度,CO2濃度,Measurement,false,5,ppm,5000,0,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,13",1001,13,analogInput
gw-001,opcua-01,opcua,UA-F-0013,CO2濃度,CO2濃度,Measurement,true,5,ppm,5000,0,,1.0,opcua-server,OPCUA Server,Server,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0013,,,
gw-001,bacnet-01,bacnet,BN-01-AI-014,差圧,差圧,Measurement,false,5,Pa,1000,-1000,,1.0,ahu-01,AHU-01,AHU,Site01,Building01,1F,Area01,,,,,,,"analogInput,14",1001,14,analogInput
