gateway_id,connector_id,protocol,point_id,point_name,point_type,point_specification,writable,interval,unit,max_pres_value,min_pres_value,labels,scale,device_id,device_name,device_type,site,building,floor,installation_area,target_area,panel,tags,supplier,owner,description,local_id,device_id_bacnet,instance_no_bacnet,object_type_bacnet
gw-001,opcua-01,opcua,UA-F-0001,Temperature,Temperature,Measurement,true,5,degC,50,-10,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0001,,,
gw-001,opcua-01,opcua,UA-F-0002,Humidity,Humidity,Measurement,true,5,%RH,100,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0002,,,
gw-001,opcua-01,opcua,UA-F-0003,CO2 Concentration,CO2 Concentration,Measurement,true,5,ppm,5000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0003,,,
gw-001,opcua-01,opcua,UA-F-0004,Differential Pressure,Differential Pressure,Measurement,true,5,Pa,1000,-1000,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0004,,,
gw-001,opcua-01,opcua,UA-F-0005,Flow Rate,Flow Rate,Measurement,true,5,m3/h,10000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0005,,,
gw-001,opcua-01,opcua,UA-F-0006,Power,Power,Measurement,true,5,kW,1000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0006,,,
gw-001,opcua-01,opcua,UA-F-0007,Energy,Energy,Metering,true,5,kWh,999999,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0007,,,
gw-001,opcua-01,opcua,UA-F-0008,Illuminance,Illuminance,Measurement,true,5,lux,10000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0008,,,
gw-001,opcua-01,opcua,UA-F-0009,Wind Speed,Wind Speed,Measurement,true,5,m/s,50,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0009,,,
gw-001,opcua-01,opcua,UA-F-0010,Pressure,Pressure,Measurement,true,5,bar,10,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0010,,,
gw-001,opcua-01,opcua,UA-F-0011,Temperature,Temperature,Measurement,true,5,degC,50,-10,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0011,,,
gw-001,opcua-01,opcua,UA-F-0012,Humidity,Humidity,Measurement,true,5,%RH,100,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0012,,,
gw-001,opcua-01,opcua,UA-F-0013,CO2 Concentration,CO2 Concentration,Measurement,true,5,ppm,5000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0013,,,
gw-001,opcua-01,opcua,UA-F-0014,Differential Pressure,Differential Pressure,Measurement,true,5,Pa,1000,-1000,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0014,,,
gw-001,opcua-01,opcua,UA-F-0015,Flow Rate,Flow Rate,Measurement,true,5,m3/h,10000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0015,,,
gw-001,opcua-01,opcua,UA-F-0016,Power,Power,Measurement,true,5,kW,1000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0016,,,
gw-001,opcua-01,opcua,UA-F-0017,Energy,Energy,Metering,true,5,kWh,999999,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0017,,,
gw-001,opcua-01,opcua,UA-F-0018,Illuminance,Illuminance,Measurement,true,5,lux,10000,0,,1.0,opcua-server,OPCUA Server,Sensor,Site01,Building01,1F,Area01,,,,,,,ns=2;s=UA-F-0018,,,
